字段标识,字段描述,字段名称,数据类型,字段取值示例,出现次数,值集校验取值,字段含义解读,报送税局字段层级,交叉校验规则,最小字符长度,最大字符长度,最小小数位精度,最大小数位精度,来源文档,来源页码
BT-50,Main address field. A group of business terms with contact information relevant to the Customer.,1st line of Customer's address,Text,127 Street,0..1,,Main address field. A group of business terms with contact information relevant to the Customer. Usually the name of the street and the number or post office. The customer can provide contact details at any time at the time of ordering or as master data that is exchanged before ordering. Contact information should not be used for the purpose of internal routing of the received invoice by the recipient; the Buyer's reference identifier should be used for this purpose.,"Invoice: /Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName
CreditNote: /CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"43,46"
BT-56,Contact point for legal or natural person.,Customer Contact Point,Text,First Name Last Name,0..1,,"Contact point for legal or natural person. Such as a person's name, identification contacts, department or office identification.","Invoice: /Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name
CreditNote: /CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,46
BT-57,Phone number for contact point.,Customer's Contact Phone Number,Text,+385 01 11111111,0..1,,Phone number for contact point.,"Invoice: /Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone
CreditNote: /CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,46
BT-58,"Email address for the point of contact. A group of business terms that offer information about the Payee, i.e. It's a role that receives payment.",Customer's Contact Email Address,Text,kontakt@mail.hr,0..1,,"Email address for the point of contact. A group of business terms that offer information about the Payee, i.e. It's a role that receives payment. The role of the Payee may also be played by a party other than the Seller, e.g. factoring services.","Invoice: /Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail
CreditNote: /CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"46,48"
BT-59,Name of the recipient payment.,Name of the Payee,Text,Company that receives payment d.o.o.,1..1,,"Name of the recipient payment. It is mandatory for use when the Payee is different from the Seller. However, the payee's name can be the same as the name of the Seller.","Invoice: /Invoice/cac:PayeeParty/cac:PartyName/cbc:Name
CreditNote: /CreditNote/cac:PayeeParty/cac:PartyName/cbc:Name","BR-17 The invoice must include the name of the payee (BT-59), if the payee (BG-10) is different from the Seller (BG-4)",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,48
BT-60,Recipient identifier payment. Payee Identifier Scheme Identifier.,Payee Identifier,Identifier,9934:11111111119,0..1,,"Recipient identifier payment. Payee Identifier Scheme Identifier. If no scheme is specified, both the Buyer and the Seller should know it, i.e. it should be a previously exchanged identification as determined by the Buyer or Seller. If used, the identification scheme shall be selected from the determinants of the list published by the ISO/IEC 6523 Maintenance Service(5).","Invoice: /Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID
CreditNote: /CreditNote/cac:PayeeParty/cac:PartyIdentification/cbc:ID/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID/CreditNote/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,48
BT-61,An identifier issued by a registration authority that identifies the Payee as a legal or natural person. Payee Legal Registration Identifier Scheme Identifier. A group of business terms that offer information about Seller's tax representative.,Payee Legal Registration Identifier,Identifier,07654321,0..1,,"An identifier issued by a registration authority that identifies the Payee as a legal or natural person. Payee Legal Registration Identifier Scheme Identifier. A group of business terms that offer information about Seller's tax representative. If no identification scheme is specified, this scheme should be known to both Seller and Buyer, e.g. an identifier used exclusively in the applicable legal environment. If used, the identification scheme shall be selected from the determinants of the list published by the ISO/IEC 6523 Maintenance Service(5).","Invoice: /Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID
CreditNote: /CreditNote/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID/CreditNote/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"48,50"
BT-62,Full name of the Seller's tax representative's side.,Name of the Seller's Tax Representative,Text,Porezni zastupnik d.o.o.,1..1,,Full name of the Seller's tax representative's side.,"Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name",BR-18 The invoice must include the name of the Seller's tax representative (BT-62) if the Seller (BG-4) has the Seller's tax representative (BG-11),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,50
BT-63,VAT identifier (VAT identification number) of the seller's tax representative. A group of business terms that offer information about the postal address of a tax representative.,Tax ID of the Seller's Tax Representative,Identifier,HR11111111119,1..1,ISO 3166-1,"VAT identifier (VAT identification number) of the seller's tax representative. A group of business terms that offer information about the postal address of a tax representative. VAT identification number with country code prefix, based on EN ISO 3166- [6]""Codes for the designation of the names of countries and their provinces"" The name/mailing address of the Seller's tax representative must be stated on the invoice if the Seller has a tax a representative who is liable to pay VAT. Sufficient components of the address must be entered to comply with the legal requirements.","Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID","BR-56 Each tax representative of the Seller (BG-11) must have the VAT identification number of the tax representative of the Seller (BT-63) | BR-CO-9 The VAT identification number of the Seller (BT-31), the VAT identification number of the tax representative of the Seller (BT-63) and the VAT identification number of the Buyer (BT-48) must have a prefix in accordance with the ISO 3166-1 [6] alpha-2 code by which the country of issue can be identified. Nevertheless, Greece can use the prefix ""EL"" | BR-S-2 An invoice containing an invoice item (BG-25) in which the VAT category of the calculated items (BT-151) is ""Standard rated"" must contain the VAT identification number of the Seller (BT-31 and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-S-3 An invoice containing document-level discounts (BG-20) where the VAT category of the document-level discount (BT-95) is ""Standard rated"" must contain the Seller's VAT identification number (BT-31) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-S-4 An invoice that contains costs at the document level (BG-21) where the VAT category of the cost is at the document level (BT-102) ""Standard rated"" must contain the VAT identification number of the Seller (BT-31) and/or the VAT identification number of the tax representative of the Seller (BT-63). | BR-Z-2 An invoice containing an invoice item in which the VAT category code ""Zero rated"" is calculated (BT-151) must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-Z-3 An invoice containing document-level discounts (BG-20) where the document-level discount VAT category code (BT-95) is ""Zero rated"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the Seller's tax representative VAT identification number (BT-63) | BR-Z-4 An invoice that contains costs at the document level where the VAT category of the cost is at the document level (BT-102) ""Zero rated"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-E-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-E-3 An invoice containing document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT- 63) | BR-E-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-AE-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47) | BR-AE-3 An invoice containing document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47) | BR-AE-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47) | BR-IC-2 An invoice containing an invoice item (BG-25) where the VAT category is calculated items (BT-151) ""Intra- community supply"" must contain the Seller's VAT identification number (BT-31) or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) | BR-IC-3 An invoice containing document-level discounts (BG-20) where the VAT category is document-level discounts (BT-95) ""Intra-community supply"" must contain the Seller's VAT identification number (BT-31) or the Seller's tax representative VAT identification number (BT-63) and the Buyer's VAT identification number (BT-48) | BR-IC-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Intra-community supply"" must contain the VAT identification number of the Seller (BT-31) or the VAT identification number of the Seller's tax representative (BT-63) and the VAT identification number of the Buyer (BT-48) | BR-G-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Export outside the EU"" must contain the VAT identification number of the Seller (BT-31) or the VAT identification number of the tax representative of the Seller (BT-63) | BR-G-3 An invoice containing document-level discounts (BG-20) where the VAT code is document-level discount category (BT-95) ""Export outside the EU"" must contain the Seller's VAT identification number (BT-31) or the Seller's tax representative VAT identification number (BT-63) | BR-G-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Export outside the EU"" must contain the VAT identification number of the Seller (BT- 31) or the VAT identification number of the tax representative of the Seller (BT-63) | BR-O-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Not subject to VAT"" must not contain the Seller's VAT identification number (BT-31), the VAT identification number of the Seller's tax representative (BT-63) or the Buyer's VAT identification number (BT-46) | BR-O-3 An invoice containing document-level discounts (BG-20) where the VAT category of the document-level discount (BT-95) is ""Not subject to VAT"" must not contain the Seller's VAT identification number (BT-31), the VAT identification number of the Seller's tax representative (BT-63) or the Buyer's VAT identification number (BT-46) | BR-O-4 An invoice containing costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Not subject to VAT"" must not contain the VAT identification number of the Seller (BT-31), the VAT identification number of the Seller's tax representative (BT-63) or the VAT identification number of the Buyer (BT-46) | BR-IG-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""IGIC"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-IG-3 An invoice containing a document-level discount (BG-20) where the VAT category code is document-level discount (BT-95) ""IGIC"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-IG-4 An invoice containing a document-level expense (BG-21), where the VAT category of the cost is document- level (BT-102) ""IGIC"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the Seller's tax representative VAT identification number (BT-63) | BR-IP-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""IPSI"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-IP-3 An invoice containing a document-level discount (BG-20) where the VAT category code is document-level discount (BT-95) ""IPSI"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-IP-4 An invoice that contains a document-level expense (BG-21), where the VAT category of the cost is document- level (BT-102) ""IPSI"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the Seller's tax representative VAT identification number (BT-63)",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"50,53"
BT-64,The main address line in the address.,1st Line of Tax Representative Address,Text,Ilica 127,0..1,,The main address line in the address. Usually this is the name of the street and the house number or mailbox.,"Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,53
BT-65,"An additional address line in the address, which can be used for additional details that complement the main line.",2nd line of the Tax Representative's address,Text,put 6.,0..1,,"An additional address line in the address, which can be used for additional details that complement the main line.","Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,53
BT-164,"An additional address line in the address, which can be used for additional details that complement the main line.",3rd line of the Tax Representative's address,Text,Savski gaj XIII Route 6,0..1,,"An additional address line in the address, which can be used for additional details that complement the main line.","Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,53
BT-66,"The common name of the city, town or settlement in which the address of the tax representative is located.",City Tax Representative,Text,Zagreb,0..1,,"The common name of the city, town or settlement in which the address of the tax representative is located.","Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,53
BT-67,Identifier for addressing a group of properties according to the relevant mail service,Postal Code of the Tax Representative,Text,10000,0..1,,"Identifier for addressing a group of properties according to the relevant mail service For example, a zip code or a zip code.","Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,53
BT-68,Province of the country. A set of business terms that offer information about where and when goods and services are The accounts are delivered.,Provincial Tax Representative,Text,City of Zagreb,0..1,,"Province of the country. A set of business terms that offer information about where and when goods and services are The accounts are delivered. It can be a region, county, state, province, etc.","Invoice: /Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity
CreditNote: /CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"53,55"
BT-70,The name of the party to which the goods are purchased and services are delivered.,Name of the recipient of the delivery,Text,Company of Delivery d.o.o.,0..1,,The name of the party to which the goods are purchased and services are delivered. It must be used if the side of the recipient of the delivery differs from the Customer.,"Invoice: /Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,55
BT-71,Identifier of the location to which goods and services are delivered. Delivery Location Identifier Identification Scheme Identifier.,Delivery location identifier Schema identifier,Identifier,38599998888745,0..1,,"Identifier of the location to which goods and services are delivered. Delivery Location Identifier Identification Scheme Identifier. If no scheme is specified, both the Buyer and the Seller should know it, i.e. it should be a previously exchanged identification as determined by the Buyer or Seller. If used, the identification scheme shall be selected from the determinants of the list published by the ISO/IEC 6523 Maintenance Service(5).","Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cbc:ID/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID/CreditNote/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,55
BT-72,The date on which supplies of goods or services are made or A group of business terms that provide information on the invoice period.,Actual Delivery Date,Date,2024-12-31,0..1,,The date on which supplies of goods or services are made or A group of business terms that provide information on the invoice period. It is used to indicate the beginning and the end of the period covered by the account. It is also called the delivery period.,"Invoice: /Invoice/cac:Delivery/cbc:ActualDeliveryDate
CreditNote: /CreditNote/cac:Delivery/cbc:ActualDeliveryDate","BR-IC-11 In a VAT distribution invoice (BG-23) where the VAT category code (BT-118) is ""Intra-community supply"", the actual delivery date (BT-72) or billing period (BG-14) must not be empty.",10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"55,57"
BT-73,The date on which the billing period of the invoice begins.,Start Date of Billing Period,Date,2025-01-01,0..1,,The date on which the billing period of the invoice begins. Start date of delivery of goods or services,"Invoice: /Invoice/cac:InvoicePeriod/cbc:StartDate
CreditNote: /CreditNote/cac:InvoicePeriod/cbc:StartDate","BR-29 If both dates are given: the start date of the account billing period (BT-73) and the end date of the accounting period (BT-74), the end date of the accounting period of the account (BT-74) must be later than or equal to the start date of the accounting period of the account (BT-73) | BR-CO-19 If a billing period (BG-14) is used, the start date of the billing period of the invoice (BT-73) or the end date of the billing period of the invoice (BT-74) or both will be populated.",10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,57
BT-74,End Date accounting period. A group of business terms that offer information about the address to which billed goods or services are or have been delivered.,Accounting Period End Date,Date,2025-01-31,0..1,,"End Date accounting period. A group of business terms that offer information about the address to which billed goods or services are or have been delivered. The date on which the delivery of the goods was completed, or service. In the event of a takeover (eng. pick-up), the delivery address is the pick-up address. Sufficient components of the address must be entered to comply with the legal requirements.","Invoice: /Invoice/cac:InvoicePeriod/cbc:EndDate
CreditNote: /CreditNote/cac:InvoicePeriod/cbc:EndDate","BR-29 If both dates are given: the start date of the account billing period (BT-73) and the end date of the accounting period (BT-74), the end date of the accounting period of the account (BT-74) must be later than or equal to the start date of the accounting period of the account (BT-73) | BR-CO-19 If a billing period (BG-14) is used, the start date of the billing period of the invoice (BT-73) or the end date of the billing period of the invoice (BT-74) or both will be populated.",10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"57,59"
BT-75,The main line of the address in the delivery address.,1st Line of Delivery Address,Text,Ilica 127,0..1,,The main line of the address in the delivery address. Usually this is the name of the street and the house number.,"Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,59
BT-76,"An additional address line in the address, which can be used for additional details that complement the main line.",2nd line of delivery address,Text,Put 6.,0..1,,"An additional address line in the address, which can be used for additional details that complement the main line.","Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,59
BT-165,"An additional address line in the address, which can be used for additional details that complement the main line.",3rd line of delivery address,Text,Savski gaj XIII put 6.,0..1,,"An additional address line in the address, which can be used for additional details that complement the main line.","Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,59
BT-77,"The common name of the city, town, or town where the delivery address is located.",City Delivery,Text,Zagreb,0..1,,"The common name of the city, town, or town where the delivery address is located.","Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,59
BT-78,Identifier for addressing a group of properties according to the relevant mail service,Postal Code Delivery,Text,10000,0..1,,"Identifier for addressing a group of properties according to the relevant mail service For example, a zip code or a zip code.","Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"59,60"
BT-79,Province of the country.,Province of Delivery State,Text,City of Zagreb,0..1,,"Province of the country. It can be a region, county, state, province, etc.","Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,60
BT-80,Identification code states. A group of business terms that offer payment information.,Delivery Country Code,Code,HR,1..1,ISO 3166-1,"Identification code states. A group of business terms that offer payment information. The list of valid countries is entered with the Maintenance Agency EN ISO 3166-1 [6] ""Codes for the designation of the names of countries and their Landscape"".","Invoice: /Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode
CreditNote: /CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode","BR-57 Delivery to the address (BG-15) must include the code of the country of delivery (BT-80) | BR-IC-12 In the VAT distribution invoice (BG-23) where the VAT category code (BT-118) is ""Intra-community supply"" code The delivery country (BT-80) must not be empty.",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"60,61"
BT-81,"The manner in which the payment is expected to be settled or has been settled, expressed in the form of a code.",Payment Method Code,Code,30,1..1,10 - Cash; 30 - Credit transfer; 48 - Bank card; 49 – Direct debit,"The manner in which the payment is expected to be settled or has been settled, expressed in the form of a code. It must be selected from the code list determinants in UNTDID 4461 [6]. A distinction must be made between SEPA payments and those that are not, and between credit payments payments, direct debits, card payments and other instruments.","Invoice: /Invoice/cac:PaymentMeans/cbc:PaymentMeansCode
CreditNote: /CreditNote/cac:PaymentMeans/cbc:PaymentMeansCode",BR-49 The payment instruction (BG-16) will specify the payment method code (BT-81),,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,61
BT-82,"The manner in which the payment is expected to be settled or has been settled, expressed in the form of text.",Payment Method Text,Text,Payment text,0..1,,"The manner in which the payment is expected to be settled or has been settled, expressed in the form of text. For example, cash, bank transfer, direct debit, credit card, etc. Note: The recommendation for credit transfer is to put a description of the payment in this field which will be forwarded on the payment order.","Invoice: /Invoice/cac:PaymentMeans/cbc:InstructionNote
CreditNote: /CreditNote/cac:PaymentMeans/cbc:InstructionNote",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"61,62"
BT-83,"A text value that is used to establishing a connection between the payment and the invoice, issued by the Seller. A group of business terms that specify a credit transfer.",Remittance Information,Text,HR00 12345678901,0..1,ISO 11649:2009; EACT,"A text value that is used to establishing a connection between the payment and the invoice, issued by the Seller. A group of business terms that specify a credit transfer. It is used for critical information. creditors' reconciliation. This information helps the Seller assign the incoming payment to the relevant payment process. When specifying a text value, which is usually an account number or an invoice to be paid, but can be some other reference from the seller, the buyer should indicate this reference in his payment order when executing the payment. In the case of a payment transaction, this reference is returned to the Seller as remittance information. In order to enable automatic processing of cross-border SEPA payments, only Latin characters, with a maximum of 140 characters, should be used in this field. Refer to Section 1.4 of the SEPA Funds Transfer Scheme and SEPA Direct Debit Scheme Implementation Guide [7] and [8] for details on allowed characters. Other rules may apply to SEPA payments within national borders. If the remittance data is structured in accordance with ISO 11649:2009 (9) References to structured RF data creditor, will be mapped in the Reference to Structured Creditor Remittance Data field in SEPA Payment Messages. If the remittance data is structured in accordance with the EACT standard for automated reconciliation [10], it will be mapped to the Unstructured Remittance Information field in SEPA payment messages."" If the remittance data is mapped to the Unique Identifier field during the of the entire process or in the field Reference to Structured Creditor Remittance Data in SEPA Payment Messages, then, except for the restriction to Latin characters, the content must not begin or end with a '/' character, nor may the character '//' appear in the content. See reference [11].","Invoice: /Invoice/cac:PaymentMeans/cbc:PaymentID
CreditNote: /CreditNote/cac:PaymentMeans/cbc:PaymentID",,,140,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"62,64"
BT-84,"Unique identifier financial account for payment, with the A payment service that is used to Payment must be made.",Payment Account Identifier,Identifier,HRXXXXXXXXXXXXXXXXXXX,1..1,,"Unique identifier financial account for payment, with the A payment service that is used to Payment must be made. For example, the IBAN (in the case of SEPA payments) or the national account number.","Invoice: /Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID
CreditNote: /CreditNote/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID","BR-50 The payment account identifier (BT-84) must be provided if the information for transferring funds to the account is (BG-16) listed in the invoice | BR-61 If the payment method code (BT-81) means a SEPA transfer of funds to an account, a local transfer of funds to an account or non-SEPA international transfer of funds to the account, the payment account identifier (BT-84) must be provided.",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,65
BT-85,"The name of the payment account, with the payment service provider, to which the payment is to be made.",Payment Account Name,Text,Euro Account,0..1,,"The name of the payment account, with the payment service provider, to which the payment is to be made.","Invoice: /Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name
CreditNote: /CreditNote/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,65
BT-86,"Provider identifier Payment services, code. where the payment account is located. A group of business terms that offer information about the card used for payment at the same time as invoicing.",Payment Service Provider Identifier,Identifier,YYYYYYY,0..1,,"Provider identifier Payment services, code. where the payment account is located. A group of business terms that offer information about the card used for payment at the same time as invoicing. For example, the BIC or national clearing code, where applicable. No identification scheme is used. It is only used if the Customer has opted to pay by payment card, such as a credit or debit card.","Invoice: /Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID
CreditNote: /CreditNote/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"65,66"
BT-87,The primary account number (PAN) of the card used for payment.,Primary Payment Card Account Number,Text,XXXXXXXXXXXXX1234,1..1,,"The primary account number (PAN) of the card used for payment. In accordance with security standards for card payments, an account must never contain the full number of the primary account cards. Currently, the PCI Security Standards Council has defined that a maximum of the first 6 digits and the last 4 digits can be displayed.","Invoice: /Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID
CreditNote: /CreditNote/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID",BR-51 The last 4 to 6 digits of the primary payment card account number (BT-87) must be present if the payment card information (BG-18) is provided in the invoice,4,6,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,66
